ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Swatches Attributes","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 1 default","Attribute 2 default","Attribute 3 default","Meta: rs_page_bg_color","Download 1 ID","Download 1 name","Download 1 URL"
1928,variable,,"Elowen Banquette",1,0,visible,"Why We Love It\nBring the outdoors in with this light and airy piece - its elegantly curved silhouette boasts caning and brass accents that are well-suited for a luxe sun room, while a deep seat and loose, down-filled cushions create an inviting respite for lounging and entertaining.","[elementor-template id=""2185""]",,,taxable,,1,,,0,0,,,,,1,,,,Furniture,"creative, design, elementor, funiture-single, furniture, novaworks, products, woocommerce",,"https://vedbo.co/wp-content/uploads/2021/12/1-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/1-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/2-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/2-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/3-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/3-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/4-1-1.jpg",,,,,,,,,4,"{""Color"":{""name"":""Color"",""type"":""color"",""terms"":{""Blue"":{""name"":""Blue"",""color"":""#1e73be"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Gray"":{""name"":""Gray"",""color"":""#999999"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Green"":{""name"":""Green"",""color"":""#81d742"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Red"":{""name"":""Red"",""color"":""#dd3333"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Yellow"":{""name"":""Yellow"",""color"":""#eeee22"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Color,"Blue, Gray, Green, Red, Yellow",0,1,Material,"Range 1, Range 2, Range 3",0,1,Corner,"Left corner, Right corner",0,1,,,,,,,
1929,simple,,"Corinne Half",1,0,visible,"Why We Love It\nBring the outdoors in with this light and airy piece – its elegantly curved silhouette boasts caning and brass accents that are well-suited for a luxe sun room, while a deep seat and loose, down-filled cushions create an inviting respite for lounging and entertaining.","[elementor-template id=""2185""]",,,taxable,,1,,,0,0,,,,,1,,600,780,Furniture,"creative, design, elementor, funiture-single, furniture, novaworks, products, woocommerce",,"https://vedbo.co/wp-content/uploads/2021/12/6-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/6-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/5-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/5-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/4-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/4-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/3-3.jpg",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
1930,simple,,"Sherpa Stanton",1,0,visible,"Why We Love It\nBring the outdoors in with this light and airy piece – its elegantly curved silhouette boasts caning and brass accents that are well-suited for a luxe sun room, while a deep seat and loose, down-filled cushions create an inviting respite for lounging and entertaining.","[elementor-template id=""2185""]",,,taxable,,1,,,0,0,,,,,1,,,200,Furniture,"creative, design, elementor, funiture-single, furniture, novaworks, products, woocommerce",,"https://vedbo.co/wp-content/uploads/2021/12/5-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/5-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/4-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/3-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/4-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/3-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/2-3.jpg",,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
1931,simple,,"Tiled Quentin",1,0,visible,"Why We Love It\nBring the outdoors in with this light and airy piece – its elegantly curved silhouette boasts caning and brass accents that are well-suited for a luxe sun room, while a deep seat and loose, down-filled cushions create an inviting respite for lounging and entertaining.","[elementor-template id=""2185""]",,,taxable,,1,,,0,0,,,,,1,,,230,Furniture,"creative, design, elementor, funiture-single, furniture, novaworks, products, woocommerce",,"https://vedbo.co/wp-content/uploads/2021/12/4-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/4-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/3-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/3-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/2-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/2-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/1-1-1.jpg",,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
1932,variable,,"Corner Chair",1,0,visible,"Why We Love It\nBring the outdoors in with this light and airy piece - its elegantly curved silhouette boasts caning and brass accents that are well-suited for a luxe sun room, while a deep seat and loose, down-filled cushions create an inviting respite for lounging and entertaining.","[elementor-template id=""2185""]",,,taxable,,1,,,0,0,,,,,1,,,,Furniture,"creative, design, elementor, funiture-single, furniture, novaworks, products, woocommerce",,"https://vedbo.co/wp-content/uploads/2021/12/3-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/3-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/2-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/2-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/1-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/1-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/4-3.jpg",,,,,,,,,0,"{""Color"":{""name"":""Color"",""type"":""color"",""terms"":{""Blue"":{""name"":""Blue"",""color"":""#1e73be"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Gray"":{""name"":""Gray"",""color"":""#999999"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Green"":{""name"":""Green"",""color"":""#81d742"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Red"":{""name"":""Red"",""color"":""#dd3333"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Yellow"":{""name"":""Yellow"",""color"":""#eeee22"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Color,"Blue, Gray, Green, Red, Yellow",0,1,Material,"Range 1, Range 2, Range 3",0,1,Corner,"Left corner, Right corner",0,1,Blue,"Range 3","Left corner",,,,
1933,variable,,Cantaloupe,1,0,visible,"Why We Love It\nBring the outdoors in with this light and airy piece - its elegantly curved silhouette boasts caning and brass accents that are well-suited for a luxe sun room, while a deep seat and loose, down-filled cushions create an inviting respite for lounging and entertaining.","[elementor-template id=""2185""]",,,taxable,,1,,,0,0,,,,,1,,,,Furniture,"creative, design, elementor, funiture-single, furniture, novaworks, products, woocommerce",,"https://vedbo.co/wp-content/uploads/2021/12/2-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/2-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/3-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/3-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/4-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/4-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/1-1-1.jpg",,,,,,,,,5,"{""Color"":{""name"":""Color"",""type"":""color"",""terms"":{""Blue"":{""name"":""Blue"",""color"":""#1e73be"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Gray"":{""name"":""Gray"",""color"":""#999999"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Green"":{""name"":""Green"",""color"":""#81d742"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Red"":{""name"":""Red"",""color"":""#dd3333"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Yellow"":{""name"":""Yellow"",""color"":""#eeee22"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Color,"Blue, Gray, Green, Red, Yellow",0,1,Material,"Range 1, Range 2, Range 3",0,1,Corner,"Left corner, Right corner",0,1,,,,,,,
1934,simple,,"Weekend - Sofa",1,0,visible,"Why We Love It\nBring the outdoors in with this light and airy piece – its elegantly curved silhouette boasts caning and brass accents that are well-suited for a luxe sun room, while a deep seat and loose, down-filled cushions create an inviting respite for lounging and entertaining.","[elementor-template id=""2185""]",,,taxable,,1,,,0,0,,,,,1,,450,500,Furniture,"creative, design, elementor, funiture-single, furniture, novaworks, products, woocommerce",,"https://vedbo.co/wp-content/uploads/2021/12/7-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/7-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/6-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/6-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/5-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/4-3.jpg",,,,,,,,,8,,,,,,,,,,,,,,,,,,,,
1935,simple,,"Carbono 221",1,0,visible,"Why We Love It\nBring the outdoors in with this light and airy piece – its elegantly curved silhouette boasts caning and brass accents that are well-suited for a luxe sun room, while a deep seat and loose, down-filled cushions create an inviting respite for lounging and entertaining.","[elementor-template id=""2185""]",,,taxable,,1,,,0,0,,,,,1,,,299,Furniture,"creative, design, elementor, funiture-single, furniture, novaworks, products, woocommerce",,"https://vedbo.co/wp-content/uploads/2021/12/8-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/8-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/7-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/7-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/6-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/6-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/5-3.jpg",,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
1936,variable,,"Carbono 217",1,0,visible,"Why We Love It\nBring the outdoors in with this light and airy piece - its elegantly curved silhouette boasts caning and brass accents that are well-suited for a luxe sun room, while a deep seat and loose, down-filled cushions create an inviting respite for lounging and entertaining.","[elementor-template id=""2185""]",,,taxable,,1,,,0,0,,,,,1,,,,Furniture,"creative, design, elementor, funiture-single, furniture, novaworks, products, woocommerce",,"https://vedbo.co/wp-content/uploads/2021/12/9-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/9-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/8-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/8-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/7-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/7-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/6-3.jpg",,,,,,,,,9,"{""Color"":{""name"":""Color"",""type"":""color"",""terms"":{""Blue"":{""name"":""Blue"",""color"":""#1e73be"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Gray"":{""name"":""Gray"",""color"":""#999999"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Green"":{""name"":""Green"",""color"":""#81d742"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Red"":{""name"":""Red"",""color"":""#dd3333"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Yellow"":{""name"":""Yellow"",""color"":""#eeee22"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Color,"Blue, Gray, Green, Red, Yellow",0,1,Material,"Range 1, Range 2, Range 3",0,1,Corner,"Left corner, Right corner",0,1,,,,,,,
1937,variable,,"Carbono 220",1,0,visible,"Why We Love It\nBring the outdoors in with this light and airy piece - its elegantly curved silhouette boasts caning and brass accents that are well-suited for a luxe sun room, while a deep seat and loose, down-filled cushions create an inviting respite for lounging and entertaining.","[elementor-template id=""2185""]",,,taxable,,1,,,0,0,,,,,1,,,,Furniture,"creative, design, elementor, funiture-single, furniture, novaworks, products, woocommerce",,"https://vedbo.co/wp-content/uploads/2021/12/10-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/10-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/9-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/9-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/8-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/8-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/7-3.jpg",,,,,,,,,10,"{""Color"":{""name"":""Color"",""type"":""color"",""terms"":{""Blue"":{""name"":""Blue"",""color"":""#1e73be"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Gray"":{""name"":""Gray"",""color"":""#999999"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Green"":{""name"":""Green"",""color"":""#81d742"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Red"":{""name"":""Red"",""color"":""#dd3333"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Yellow"":{""name"":""Yellow"",""color"":""#eeee22"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Color,"Blue, Gray, Green, Red, Yellow",0,1,Material,"Range 1, Range 2, Range 3",0,1,Corner,"Left corner, Right corner",0,1,,,,,,,
