ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Swatches Attributes","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 1 default","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 2 default"
3207,simple,,"Training Strong square neck",1,0,visible,"Why We Love It\nBring the outdoors in with this light and airy piece – its elegantly curved silhouette boasts caning and brass accents that are well-suited for a luxe sun room, while a deep seat and loose, down-filled cushions create an inviting respite for lounging and entertaining.","[elementor-template id=""3208""]",,,taxable,,1,,,0,0,,,,,1,,,49.99,Fashion,"creative, design, elementor, funiture-single, furniture, novaworks, products, woocommerce",,"https://vedbo.co/wp-content/uploads/2022/06/10.jpg, https://vedbo.co/wp-content/uploads/2022/06/10-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/9-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/9.jpg, https://vedbo.co/wp-content/uploads/2022/06/8-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/8.jpg, https://vedbo.co/wp-content/uploads/2022/06/7-1.jpg",,,,,,,,,300,,,,,,,,,,,
3231,simple,,"Monki mesh long sleeve crop top",1,0,visible,"Why We Love It\nBring the outdoors in with this light and airy piece – its elegantly curved silhouette boasts caning and brass accents that are well-suited for a luxe sun room, while a deep seat and loose, down-filled cushions create an inviting respite for lounging and entertaining.","[elementor-template id=""3208""]",,,taxable,,1,,,0,0,,,,,1,,,59.99,Fashion,"creative, design, elementor, funiture-single, furniture, novaworks, products, woocommerce",,"https://vedbo.co/wp-content/uploads/2022/06/9.jpg, https://vedbo.co/wp-content/uploads/2022/06/9-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/10-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/8-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/8.jpg, https://vedbo.co/wp-content/uploads/2022/06/7-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/7.jpg",,,,,,,,,299,,,,,,,,,,,
3232,simple,,"River Island co-ord shirred",1,0,visible,"Why We Love It\nBring the outdoors in with this light and airy piece – its elegantly curved silhouette boasts caning and brass accents that are well-suited for a luxe sun room, while a deep seat and loose, down-filled cushions create an inviting respite for lounging and entertaining.","[elementor-template id=""3208""]",,,taxable,,1,,,0,0,,,,,1,,,69.99,Fashion,"creative, design, elementor, funiture-single, furniture, novaworks, products, woocommerce",,"https://vedbo.co/wp-content/uploads/2022/06/8.jpg, https://vedbo.co/wp-content/uploads/2022/06/8-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/9-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/10-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/8.jpg, https://vedbo.co/wp-content/uploads/2022/06/7-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/7.jpg",,,,,,,,,298,,,,,,,,,,,
3233,simple,,"Training Contour seamless",1,0,visible,"Why We Love It\nBring the outdoors in with this light and airy piece – its elegantly curved silhouette boasts caning and brass accents that are well-suited for a luxe sun room, while a deep seat and loose, down-filled cushions create an inviting respite for lounging and entertaining.","[elementor-template id=""3208""]",,,taxable,,1,,,0,0,,,,,1,,49.99,79.99,Fashion,"creative, design, elementor, funiture-single, furniture, novaworks, products, woocommerce",,"https://vedbo.co/wp-content/uploads/2022/06/7.jpg, https://vedbo.co/wp-content/uploads/2022/06/7-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/8-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/9-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/10-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/8.jpg, https://vedbo.co/wp-content/uploads/2022/06/7.jpg",,,,,,,,,297,,,,,,,,,,,
3234,simple,,"Sleeve crop top in lavender",1,0,visible,"Why We Love It\nBring the outdoors in with this light and airy piece – its elegantly curved silhouette boasts caning and brass accents that are well-suited for a luxe sun room, while a deep seat and loose, down-filled cushions create an inviting respite for lounging and entertaining.","[elementor-template id=""3208""]",,,taxable,,1,,,0,0,,,,,1,,,79.99,Fashion,"creative, design, elementor, funiture-single, furniture, novaworks, products, woocommerce",,"https://vedbo.co/wp-content/uploads/2022/06/6.jpg, https://vedbo.co/wp-content/uploads/2022/06/6-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/8-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/9-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/10-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/8.jpg, https://vedbo.co/wp-content/uploads/2022/06/7.jpg",,,,,,,,,296,,,,,,,,,,,
3235,simple,,"HIIT seamless rib long sleeve",1,0,visible,"Why We Love It\nBring the outdoors in with this light and airy piece – its elegantly curved silhouette boasts caning and brass accents that are well-suited for a luxe sun room, while a deep seat and loose, down-filled cushions create an inviting respite for lounging and entertaining.","[elementor-template id=""3208""]",,,taxable,,1,,,0,0,,,,,1,,,89.99,Fashion,"creative, design, elementor, funiture-single, furniture, novaworks, products, woocommerce",,"https://vedbo.co/wp-content/uploads/2022/06/5.jpg, https://vedbo.co/wp-content/uploads/2022/06/5-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/6-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/8-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/9-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/10-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/8.jpg",,,,,,,,,295,,,,,,,,,,,
3236,simple,,"HIIT one shoulder crop top in pink",1,0,visible,"Why We Love It\nBring the outdoors in with this light and airy piece – its elegantly curved silhouette boasts caning and brass accents that are well-suited for a luxe sun room, while a deep seat and loose, down-filled cushions create an inviting respite for lounging and entertaining.","[elementor-template id=""3208""]",,,taxable,,1,,,0,0,,,,,1,,99.99,199.99,Fashion,"creative, design, elementor, funiture-single, furniture, novaworks, products, woocommerce",,"https://vedbo.co/wp-content/uploads/2022/06/4.jpg, https://vedbo.co/wp-content/uploads/2022/06/4-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/5-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/6-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/8-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/9-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/10-1.jpg",,,,,,,,,294,,,,,,,,,,,
3237,simple,,"HIIT crop top with 1/4 zip in white",1,0,visible,"Why We Love It\nBring the outdoors in with this light and airy piece – its elegantly curved silhouette boasts caning and brass accents that are well-suited for a luxe sun room, while a deep seat and loose, down-filled cushions create an inviting respite for lounging and entertaining.","[elementor-template id=""3208""]",,,taxable,,1,,,0,0,,,,,1,,,119.99,Fashion,"creative, design, elementor, funiture-single, furniture, novaworks, products, woocommerce",,"https://vedbo.co/wp-content/uploads/2022/06/3.jpg, https://vedbo.co/wp-content/uploads/2022/06/3-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/4-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/5-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/6-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/8-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/9-1.jpg",,,,,,,,,293,,,,,,,,,,,
3238,simple,,"ASOS DESIGN strappy asymmetric",1,0,visible,"Why We Love It\nBring the outdoors in with this light and airy piece – its elegantly curved silhouette boasts caning and brass accents that are well-suited for a luxe sun room, while a deep seat and loose, down-filled cushions create an inviting respite for lounging and entertaining.","[elementor-template id=""3208""]",,,taxable,,1,,,0,0,,,,,1,,,39.99,Fashion,"creative, design, elementor, funiture-single, furniture, novaworks, products, woocommerce",,"https://vedbo.co/wp-content/uploads/2022/06/2.jpg, https://vedbo.co/wp-content/uploads/2022/06/2-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/3-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/4-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/5-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/6-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/8-1.jpg",,,,,,,,,292,,,,,,,,,,,
3239,simple,,"Hourglass halter neck crop top in black",1,0,visible,"Why We Love It\nBring the outdoors in with this light and airy piece – its elegantly curved silhouette boasts caning and brass accents that are well-suited for a luxe sun room, while a deep seat and loose, down-filled cushions create an inviting respite for lounging and entertaining.","[elementor-template id=""3208""]",,,taxable,,1,,,0,0,,,,,1,,,39.99,Fashion,"creative, design, elementor, funiture-single, furniture, novaworks, products, woocommerce",,"https://vedbo.co/wp-content/uploads/2022/06/1.jpg, https://vedbo.co/wp-content/uploads/2022/06/1-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/2-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/3-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/4-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/5-1.jpg, https://vedbo.co/wp-content/uploads/2022/06/6-1.jpg",,,,,,,,,291,,,,,,,,,,,
